mDM [eV],g [GeV^-1]
0.09209282586539466,1.2084274264030265e-8
0.09212659232741326,1.4860481836368301e-8
0.0921603711701352,1.666551066433393e-8
0.09219416239809997,1.7442778107463786e-8
0.09222796601584864,1.7839767871824094e-8
0.0922617820279241,1.7828733177168506e-8
0.09229561043887076,1.741231946322613e-8
0.09232945125323476,1.6240895669546344e-8
0.09236330447556391,1.4137752929916371e-8
0.09239717011040761,1.1482551158410173e-8
0.0924310481623171,6.616423059093339e-9
0.09246493863584514,2.935016527581965e-11
0.09249884153554618,1.7448941233737412e-11
0.09253275686597637,1.3769642020404923e-11
0.09256668463169347,1.190221294784975e-11
0.09260062483725706,1.0803284070086907e-11
0.09263457748722825,1.0260336339842121e-11
0.09266854258616988,1.0162309566647807e-11
0.09270252013864644,1.0289783989942702e-11
0.09273651014922403,1.0631599129881835e-11
0.09277051262247063,1.123905649917451e-11
0.0928045275629557,1.2250304506733964e-11
0.09283855497525043,1.403089482802009e-11
0.09287259486392771,1.741885407237464e-11
0.09290664723356203,2.8927138470175634e-11
0.09294071208872971,6.398577868301691e-9
0.09297478943400862,1.1116812796370333e-8
0.09300887927397834,1.3991043603587512e-8
0.09304298161322015,1.6054820811033874e-8
0.09307709645631691,1.719562311216136e-8
0.09311122380785337,1.799573918129273e-8
0.09314536367241577,1.7987156443004516e-8
0.09317951605459211,1.7574686735934034e-8
0.09321368095897205,1.676527765797542e-8
0.09324785839014688,1.5280735605430055e-8
0.09328204835270976,1.3301408443460879e-8
0.09331625085125533,1.0806127494747607e-8
0.09335046589038001,7.644598762575056e-9
0.0933846934746819,9.855221873319064e-11
0.0934189336087607,2.0936519519003513e-11
0.093453186297218,1.5573442636061528e-11
0.09348745154465686,1.321231601092946e-11
0.09352172935568215,1.2154156134929383e-11
0.09355601973490037,1.168398399136844e-11
0.0935903226869197,1.1086560833047067e-11
0.09362463821635014,1.1486680740492076e-11
0.09365896632780324,1.137121681645438e-11
0.09369330702589228,1.2143082787434169e-11
0.09372766031523222,1.3663161206548423e-11
0.0937620262004397,1.716396436813274e-11
0.09379640468613316,3.2943220838270263e-11
0.09383079577693262,6.6051969248724245e-9
0.09386519947745983,1.0709647642398143e-8
0.09389961579233821,1.3476100872946542e-8
0.09393404472619289,1.511369066614286e-8
0.09396848628365076,1.618634357450607e-8
0.09400294046934031,1.655407956588309e-8
0.09403740728789178,1.6168710450616417e-8
0.0940718867439371,1.508100593224643e-8
0.09410637884210983,1.312589931836391e-8
0.09414088358704538,9.951430590554364e-9
0.09417540098338074,4.981932720651841e-9
0.09420993103575465,2.290091835010371e-11
0.09424447374880748,1.4179525166122778e-11
0.09427902912718136,1.1302367444557575e-11
0.09431359717552018,9.9731800063658e-12
0.09434817789846943,9.182660725466111e-12
0.09438277130067635,8.703524729748036e-12
0.09441737738678986,8.390584889437829e-12
0.09445199616146056,8.245058940156916e-12
0.0944866276293409,8.35562484254598e-12
0.09452127179508489,8.76486541710325e-12
0.09455592866334826,9.651696974513846e-12
0.09459059823878849,1.1440157939394469e-11
0.09462528052606471,1.530766787366607e-11
0.09465997552983789,4.827865509544931e-11
0.09469468325477058,8.789808917168809e-9
0.09472940370552707,1.2411787366625303e-8
0.09476413688677333,1.52625725288088e-8
0.09479888280317718,1.711997756320328e-8
0.094833641459408,1.876068197387042e-8
0.09486841286013692,1.963256980071936e-8
0.09490319701003681,1.917494761799973e-8
0.0949379939137822,1.747852273960053e-8
0.09497280357604947,1.5212067877015676e-8
0.09500762600151655,1.2074686023582055e-8
0.09504246119486318,7.9711235115653e-9
0.09507730916077076,4.16202210609516e-11
0.09511216990392242,1.45222321581612e-11
0.0951470434290031,1.1308875871778895e-11
0.09518192974069933,1.0263557306364829e-11
0.09521682884369943,9.595525819418737e-12
0.09525174074269341,9.291306960013127e-12
0.09528666544237295,8.9553125530618e-12
0.09532160294743162,8.78800491260211e-12
0.09535655326256454,9.05799015734071e-12
0.09539151639246862,9.511960696689637e-12
0.09542649234184247,1.0263843793409079e-11
0.0954614811153864,1.135458828392028e-11
0.09549648271780257,1.3083821527892263e-11
0.09553149715379473,1.9144854411914973e-11
